"PolicyNo","Policy_Company","Policy_Installment_Term","Policy_Billing_Code","Policy_Method_Of_Payment","Policy_Reinstatement_Fee_Indicator","Policy_Zip_Code_Garaging_Location","Vehicle_Territory","Vehicle_Make_Year","Vehicle_Make_Description","Vehicle_Performance","Vehicle_New_Cost_Amount","Vehicle_Symbol","Vehicle_Number_Of_Drivers_Assigned","Vehicle_Usage","Vehicle_Miles_To_Work","Vehicle_Days_Per_Week_Driven","Vehicle_Annual_Miles","Vehicle_Anti_Theft_Device","Vehicle_Passive_Restraint","Vehicle_Age_In_Years","Vehicle_Med_Pay_Limit","Vehicle_Bodily_Injury_Limit","Vehicle_Physical_Damage_Limit","Vehicle_Comprehensive_Coverage_Indicator","Vehicle_Comprehensive_Coverage_Limit","Vehicle_Collision_Coverage_Indicator","Vehicle_Collision_Coverage_Deductible","Driver_Total","Driver_Total_Male","Driver_Total_Female","Driver_Total_Single","Driver_Total_Married","Driver_Total_Related_To_Insured_Self","Driver_Total_Related_To_Insured_Spouse","Driver_Total_Related_To_Insured_Child","Driver_Total_Licensed_In_State","Driver_Minimum_Age","Driver_Maximum_Age","Driver_Total_Teenager_Age_15_19","Driver_Total_College_Ages_20_23","Driver_Total_Young_Adult_Ages_24_29","Driver_Total_Low_Middle_Adult_Ages_30_39","Driver_Total_Middle_Adult_Ages_40_49","Driver_Total_Adult_Ages_50_64","Driver_Total_Senior_Ages_65_69","Driver_Total_Upper_Senior_Ages_70_plus","Vehicle_Youthful_Driver_Indicator","Vehicle_Youthful_Driver_Training_Code","Vehicle_Youthful_Good_Student_Code","Vehicle_Driver_Points","Vehicle_Safe_Driver_Discount_Indicator","EEA_Liability_Coverage_Only_Indicator","EEA_Multi_Auto_Policies_Indicator","EEA_Policy_Zip_Code_3","EEA_Policy_Tenure","EEA_Agency_Type","EEA_Packaged_Policy_Indicator","EEA_Full_Coverage_Indicator","EEA_Prior_Bodily_Injury_Limit","EEA_PolicyYear","SYS_Renewed","SYS_New_Business","Annual_Premium","Claim_Count","Loss_Amount","Frequency","Severity","Loss_Ratio"
"165032532","Standard ","6","Direct Billed to Insured","Pre-paid","N","43373","26","2000","FORD EXPDTN XLT  ","Standard","18000","12","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","7","1000","100-300","100000","N","-1","Y","250","1","1","0","1","0","1","0","0","1","54","54","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","N","433","16.0","Hybrid","N","Y","100-200","2006","Y","N","391.14","0","0.0","0.0","0.0","0.0"
"165189632","Standard ","6","Direct Billed to Insured","Pre-paid","N","42597","30","2004","FORD EXPEDITION  ","Standard","-1","14","99","Pleasure","-1","5","Unknown","Not Applicable","Y","3","1000","100-300","50000","N","-1","Y","500","2","1","1","0","2","1","1","0","2","32","33","0","0","0","2","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","425","16.0","Hybrid","Y","Y","100-200","2006","Y","N","425.06","0","0.0","0.0","0.0","0.0"
"165369533","Standard ","6","Direct Billed to Insured","Pre-paid","N","43884","31","1991","LINC CONT EXEC   ","Standard","-1","11","1","Farm    ","-1","5","Unknown","Not Applicable","Y","9","1000","100-300","25000","N","-1","Y","250","1","1","0","0","1","1","0","0","1","71","71","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","438","16.5","Non-standard","Y","Y","100-200","2006","Y","N","267.12","0","0.0","0.0","0.0","0.0"
"166092433","Standard ","6","Direct Billed to Insured","Pre-paid","N","43376","31","1994","GMC  SONOMA      ","Standard","-1","7","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","50-100 ","50000","N","-1","N","-1","1","1","0","1","0","1","0","0","1","71","71","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","433","16.0","Preferred","Y","N","40-100 ","2006","Y","N","179.14","0","0.0","0.0","0.0","0.0"
"166607239","Standard ","6","Direct Billed to Insured","Pre-paid","N","Unknown","37","2004","CHEV AVALANCHE   ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Alarm Only","Y","3","5000","250-500","100000","N","-1","Y","500","1","1","0","0","1","1","0","0","1","67","67","0","0","0","0","0","0","1","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","Unknown","44.5","Non-standard","Y","Y","100-400","2006","Y","N","503.5","0","0.0","0.0","0.0","0.0"
"167013432","Standard ","6","Direct Billed to Insured","Pre-paid","N","42477","32","2006","FORD FIVE HUNDR  ","Standard","-1","15","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","1","1000","100-300","50000","N","-1","Y","500","1","0","1","0","1","1","0","0","1","76","76","0","0","0","0","0","0","0","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","1","N","N","N","424","16.0","Non-standard","N","Y","100-200","2006","Y","N","413.4","0","0.0","0.0","0.0","0.0"
"169348232","Standard ","6","Direct Billed to Insured","Installment","N","43169","30","1991","FORD F150        ","Standard","-1","5","1","Pleasure","-1","5","Unknown","Not Applicable","N","9","5000","100-300","50000","N","-1","N","-1","1","0","1","0","0","1","0","0","1","60","60","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","431","16.0","Standard","N","N","100-200","2006","Y","N","145.22","0","0.0","0.0","0.0","0.0"
"169918532","Standard ","6","Direct Billed to Insured","Installment","N","43066","35","2001","CHEV TAHOE       ","Standard","-1","11","1","Pleasure","-1","5","Unknown","Passive Disabling-Vehicle Recovery","Y","6","5000","50-100 ","50000","N","-1","Y","250","1","0","1","0","1","0","1","0","1","37","37","0","0","0","1","0","0","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","430","16.0","Hybrid","Y","Y","40-100 ","2006","Y","N","411.28","0","0.0","0.0","0.0","0.0"
"169953832","Standard ","6","Direct Billed to Insured","Pre-paid","N","43162","30","1997","TYTA TACOMA      ","Standard","-1","10","1","Work    ","16","5","Unknown","Not Applicable","Y","9","1000","50-100 ","50000","N","-1","Y","500","1","1","0","1","0","1","0","0","1","57","57","0","0","0","0","0","1","0","0","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","N","Y","431","16.0","Non-standard","N","Y","40-100 ","2006","Y","N","378.42","0","0.0","0.0","0.0","0.0"
"172233632","Standard ","6","Direct Billed to Insured","Pre-paid","N","42755","31","1977","CHEV C10 PU      ","Standard","-1","5","1","Work    ","4","5","Unknown","Not Applicable","N","9","1000","25-50  ","25000","N","-1","N","-1","2","1","1","0","2","1","1","0","2","67","70","0","0","0","0","0","0","1","1","N","Not Applicable                 ","Not Eligible for Good Student Credit","0","Y","Y","Y","427","16.0","Standard","N","N","20-50","2006","Y","N","129.32","0","0.0","0.0","0.0","0.0"
